代码,简称,时间,周单位净值(元)
160706.OF,嘉实300,2005-09-02,1.0070
160706.OF,嘉实300,2005-09-09,1.0070
160706.OF,嘉实300,2005-09-16,1.0230
160706.OF,嘉实300,2005-09-23,0.9710
160706.OF,嘉实300,2005-09-30,0.9710
160706.OF,嘉实300,2005-10-14,0.9590
160706.OF,嘉实300,2005-10-21,0.9580
160706.OF,嘉实300,2005-10-28,0.9180
160706.OF,嘉实300,2005-11-04,0.9270
160706.OF,嘉实300,2005-11-11,0.9130
160706.OF,嘉实300,2005-11-18,0.9300
160706.OF,嘉实300,2005-11-25,0.9330
160706.OF,嘉实300,2005-12-02,0.9200
160706.OF,嘉实300,2005-12-09,0.9400
160706.OF,嘉实300,2005-12-16,0.9550
160706.OF,嘉实300,2005-12-23,0.9690
161607.OF,融通巨潮,2005-05-13,1.0000
161607.OF,融通巨潮,2005-05-20,0.9980
161607.OF,融通巨潮,2005-05-27,0.9840
161607.OF,融通巨潮,2005-06-03,0.9710
161607.OF,融通巨潮,2005-06-10,1.0050
161607.OF,融通巨潮,2005-06-17,0.9990
161607.OF,融通巨潮,2005-06-24,1.0100
161607.OF,融通巨潮,2005-07-01,0.9720
161607.OF,融通巨潮,2005-07-08,0.9480
161607.OF,融通巨潮,2005-07-15,0.9710
161607.OF,融通巨潮,2005-07-22,0.9940
161607.OF,融通巨潮,2005-07-29,1.0210
161607.OF,融通巨潮,2005-08-05,1.0550
161607.OF,融通巨潮,2005-08-12,1.0490
161607.OF,融通巨潮,2005-08-19,1.0480
161607.OF,融通巨潮,2005-08-26,1.0240
161607.OF,融通巨潮,2005-09-02,1.0330
161607.OF,融通巨潮,2005-09-09,1.0280
161607.OF,融通巨潮,2005-09-16,1.0340
161607.OF,融通巨潮,2005-09-23,0.9840
161607.OF,融通巨潮,2005-09-30,0.9880
161607.OF,融通巨潮,2005-10-14,0.9700
161607.OF,融通巨潮,2005-10-21,0.9680
161607.OF,融通巨潮,2005-10-28,0.9340
161607.OF,融通巨潮,2005-11-04,0.9450
161607.OF,融通巨潮,2005-11-11,0.9320
161607.OF,融通巨潮,2005-11-18,0.9490
161607.OF,融通巨潮,2005-11-25,0.9550
161607.OF,融通巨潮,2005-12-02,0.9480
161607.OF,融通巨潮,2005-12-09,0.9710
161607.OF,融通巨潮,2005-12-16,0.9830
161607.OF,融通巨潮,2005-12-23,0.9970
510050.OF,50ETF,2004-12-31,0.9960
510050.OF,50ETF,2005-01-07,0.9810
510050.OF,50ETF,2005-01-14,0.9830
510050.OF,50ETF,2005-01-21,0.9880
510050.OF,50ETF,2005-01-28,0.9760
510050.OF,50ETF,2005-02-04,0.8730
510050.OF,50ETF,2005-02-18,0.8560
510050.OF,50ETF,2005-02-25,0.8780
510050.OF,50ETF,2005-03-04,0.8590
510050.OF,50ETF,2005-03-11,0.8540
510050.OF,50ETF,2005-03-18,0.8210
510050.OF,50ETF,2005-03-25,0.8070
510050.OF,50ETF,2005-04-01,0.8230
510050.OF,50ETF,2005-04-08,0.8380
510050.OF,50ETF,2005-04-15,0.8170
510050.OF,50ETF,2005-04-22,0.7950
510050.OF,50ETF,2005-04-29,0.7920
510050.OF,50ETF,2005-05-13,0.7590
510050.OF,50ETF,2005-05-20,0.7550
510050.OF,50ETF,2005-05-27,0.7290
510050.OF,50ETF,2005-06-03,0.7060
510050.OF,50ETF,2005-06-10,0.7730
510050.OF,50ETF,2005-06-17,0.7710
510050.OF,50ETF,2005-06-24,0.7840
510050.OF,50ETF,2005-07-01,0.7620
510050.OF,50ETF,2005-07-08,0.7420
510050.OF,50ETF,2005-07-15,0.7640
510050.OF,50ETF,2005-07-22,0.7850
510050.OF,50ETF,2005-07-29,0.8050
510050.OF,50ETF,2005-08-05,0.8290
510050.OF,50ETF,2005-08-12,0.8390
510050.OF,50ETF,2005-08-19,0.8330
510050.OF,50ETF,2005-08-26,0.8390
510050.OF,50ETF,2005-09-02,0.8460
510050.OF,50ETF,2005-09-09,0.8400
510050.OF,50ETF,2005-09-16,0.8470
510050.OF,50ETF,2005-09-23,0.8090
510050.OF,50ETF,2005-09-30,0.8090
510050.OF,50ETF,2005-10-14,0.7930
510050.OF,50ETF,2005-10-21,0.7900
510050.OF,50ETF,2005-10-28,0.7630
510050.OF,50ETF,2005-11-04,0.7720
510050.OF,50ETF,2005-11-11,0.7600
510050.OF,50ETF,2005-11-18,0.7740
510050.OF,50ETF,2005-11-25,0.7830
510050.OF,50ETF,2005-12-02,0.7730
510050.OF,50ETF,2005-12-09,0.7940
510050.OF,50ETF,2005-12-16,0.7990
510050.OF,50ETF,2005-12-23,0.8090
159901.OF,深100ETF,2006-03-24,1.0000
159901.OF,深100ETF,2006-04-21,1.1400
159901.OF,深100ETF,2006-04-28,1.1580
159901.OF,深100ETF,2006-05-12,1.2670
159901.OF,深100ETF,2006-05-19,1.3550
159901.OF,深100ETF,2006-05-26,1.3230
159901.OF,深100ETF,2006-06-02,1.3620
159901.OF,深100ETF,2006-06-09,1.2790
159901.OF,深100ETF,2006-06-16,1.3020
159901.OF,深100ETF,2006-06-23,1.3270
159901.OF,深100ETF,2006-06-30,1.3890
159901.OF,深100ETF,2006-07-07,1.4080
159901.OF,深100ETF,2006-07-14,1.3650
159901.OF,深100ETF,2006-07-21,1.3590
159901.OF,深100ETF,2006-07-28,1.3340
159901.OF,深100ETF,2006-08-04,1.2240
159901.OF,深100ETF,2006-08-11,1.2590
159901.OF,深100ETF,2006-08-18,1.2540
159901.OF,深100ETF,2006-08-25,1.2820
159901.OF,深100ETF,2006-09-01,1.3190
159901.OF,深100ETF,2006-09-08,1.3190
159901.OF,深100ETF,2006-09-15,1.3390
159901.OF,深100ETF,2006-09-22,1.3610
159901.OF,深100ETF,2006-09-29,1.3880
159901.OF,深100ETF,2006-10-13,1.4060
159901.OF,深100ETF,2006-10-20,1.4230
159901.OF,深100ETF,2006-10-27,1.4270
159901.OF,深100ETF,2006-11-03,1.4630
159901.OF,深100ETF,2006-11-10,1.4670
159901.OF,深100ETF,2006-11-17,1.5270
159901.OF,深100ETF,2006-11-24,1.5980
159901.OF,深100ETF,2006-12-01,1.7290
159901.OF,深100ETF,2006-12-08,1.6900
159901.OF,深100ETF,2006-12-15,1.8430
159901.OF,深100ETF,2006-12-22,1.8620
159901.OF,深100ETF,2006-12-29,1.9540
159901.OF,深100ETF,2007-01-05,1.9830
159901.OF,深100ETF,2007-01-12,2.1150
159901.OF,深100ETF,2007-01-19,2.3760
159901.OF,深100ETF,2007-01-26,2.4290
159901.OF,深100ETF,2007-02-02,2.2070
159901.OF,深100ETF,2007-02-09,2.3150
159901.OF,深100ETF,2007-02-16,2.5960
159901.OF,深100ETF,2007-03-02,2.4210
159901.OF,深100ETF,2007-03-09,2.5110
159901.OF,深100ETF,2007-03-16,2.5240
159901.OF,深100ETF,2007-03-23,2.6350
159901.OF,深100ETF,2007-03-30,2.6530
159901.OF,深100ETF,2007-04-06,2.8800
159901.OF,深100ETF,2007-04-13,3.1180
159901.OF,深100ETF,2007-04-20,3.2460
159901.OF,深100ETF,2007-04-27,3.3820
159901.OF,深100ETF,2007-05-04,3.4440
159901.OF,深100ETF,2007-05-11,3.6250
159901.OF,深100ETF,2007-05-18,3.7740
159901.OF,深100ETF,2007-05-25,4.0110
159901.OF,深100ETF,2007-06-01,3.8870
159901.OF,深100ETF,2007-06-08,4.0120
159901.OF,深100ETF,2007-06-15,4.2930
159901.OF,深100ETF,2007-06-22,4.2610
159901.OF,深100ETF,2007-06-29,4.0360
159901.OF,深100ETF,2007-07-06,3.9840
159901.OF,深100ETF,2007-07-13,3.9800
159901.OF,深100ETF,2007-07-20,4.1320
159901.OF,深100ETF,2007-07-27,4.5260
159901.OF,深100ETF,2007-08-03,4.9110
159901.OF,深100ETF,2007-08-10,4.9320
159901.OF,深100ETF,2007-08-17,4.7870
159901.OF,深100ETF,2007-08-24,5.3930
159901.OF,深100ETF,2007-08-31,5.4530
159901.OF,深100ETF,2007-09-07,5.4260
159901.OF,深100ETF,2007-09-14,5.5710
159901.OF,深100ETF,2007-09-21,5.6260
159901.OF,深100ETF,2007-09-28,5.7780
159901.OF,深100ETF,2007-10-12,5.8090
159901.OF,深100ETF,2007-10-19,5.7030
159901.OF,深100ETF,2007-10-26,5.5040
159901.OF,深100ETF,2007-11-02,5.5030
159901.OF,深100ETF,2007-11-09,5.1120
159901.OF,深100ETF,2007-11-16,5.0170
159901.OF,深100ETF,2007-11-23,4.8850
159901.OF,深100ETF,2007-11-30,4.7210
159901.OF,深100ETF,2007-12-07,5.0400
159901.OF,深100ETF,2007-12-14,5.0020
159901.OF,深100ETF,2007-12-21,5.1400
159901.OF,深100ETF,2007-12-28,5.4120
159901.OF,深100ETF,2008-01-04,5.5840
159901.OF,深100ETF,2008-01-11,5.8330
159901.OF,深100ETF,2008-01-18,5.6330
159901.OF,深100ETF,2008-01-25,5.3800
159901.OF,深100ETF,2008-02-01,4.8380
159901.OF,深100ETF,2008-02-08,5.1980
159901.OF,深100ETF,2008-02-15,5.1200
159901.OF,深100ETF,2008-02-22,5.0780
159901.OF,深100ETF,2008-02-29,4.9890
159901.OF,深100ETF,2008-03-07,4.9550
159901.OF,深100ETF,2008-03-14,4.4070
159901.OF,深100ETF,2008-03-21,4.3060
159901.OF,深100ETF,2008-03-28,4.2520
159901.OF,深100ETF,2008-04-04,3.8650
159901.OF,深100ETF,2008-04-11,4.0900
159901.OF,深100ETF,2008-04-18,3.4990
159901.OF,深100ETF,2008-04-25,4.0280
159901.OF,深100ETF,2008-05-02,4.1620
159901.OF,深100ETF,2008-05-09,4.0820
159901.OF,深100ETF,2008-05-16,4.1600
159901.OF,深100ETF,2008-05-23,3.8470
159901.OF,深100ETF,2008-05-30,3.7840
159901.OF,深100ETF,2008-06-06,3.6620
159901.OF,深100ETF,2008-06-13,3.1110
159901.OF,深100ETF,2008-06-20,2.9270
159901.OF,深100ETF,2008-06-27,2.9350
159901.OF,深100ETF,2008-07-04,2.9400
159901.OF,深100ETF,2008-07-11,3.1500
159901.OF,深100ETF,2008-07-18,2.9960
159901.OF,深100ETF,2008-07-25,3.1040
159901.OF,深100ETF,2008-08-01,2.9980
159901.OF,深100ETF,2008-08-08,2.6880
159901.OF,深100ETF,2008-08-15,2.5350
159901.OF,深100ETF,2008-08-22,2.4740
159901.OF,深100ETF,2008-08-29,2.4270
159901.OF,深100ETF,2008-09-05,2.2140
159901.OF,深100ETF,2008-09-12,2.1030
159901.OF,深100ETF,2008-09-19,2.1750
159901.OF,深100ETF,2008-09-26,2.2870
159901.OF,深100ETF,2008-10-10,1.9590
159901.OF,深100ETF,2008-10-17,1.8870
159901.OF,深100ETF,2008-10-24,1.8670
159901.OF,深100ETF,2008-10-31,1.7400
159901.OF,深100ETF,2008-11-07,1.7210
159901.OF,深100ETF,2008-11-14,2.0180
159901.OF,深100ETF,2008-11-21,2.0490
159901.OF,深100ETF,2008-11-28,2.0110
159901.OF,深100ETF,2008-12-05,2.2200
159901.OF,深100ETF,2008-12-12,2.1520
159901.OF,深100ETF,2008-12-19,2.2710
159901.OF,深100ETF,2008-12-26,2.0390
159901.OF,深100ETF,2009-01-02,1.9790
159901.OF,深100ETF,2009-01-09,2.0720
159901.OF,深100ETF,2009-01-16,2.1390
159901.OF,深100ETF,2009-01-23,2.1790
159901.OF,深100ETF,2009-02-06,2.3980
159901.OF,深100ETF,2009-02-13,2.6710
159901.OF,深100ETF,2009-02-20,2.6310
159901.OF,深100ETF,2009-02-27,2.3570
159901.OF,深100ETF,2009-03-06,2.5560
159901.OF,深100ETF,2009-03-13,2.4460
159901.OF,深100ETF,2009-03-20,2.6760
159901.OF,深100ETF,2009-03-27,2.7750
159901.OF,深100ETF,2009-04-03,2.8460
159901.OF,深100ETF,2009-04-10,2.8830
159901.OF,深100ETF,2009-04-17,2.9530
159901.OF,深100ETF,2009-04-24,2.8560
159901.OF,深100ETF,2009-05-01,2.9080
159901.OF,深100ETF,2009-05-08,3.1110
159901.OF,深100ETF,2009-05-15,3.1380
159901.OF,深100ETF,2009-05-22,3.0890
159901.OF,深100ETF,2009-05-29,3.1020
159901.OF,深100ETF,2009-06-05,3.2580
159901.OF,深100ETF,2009-06-12,3.2120
159901.OF,深100ETF,2009-06-19,3.4130
159901.OF,深100ETF,2009-06-26,3.4590
159901.OF,深100ETF,2009-07-03,3.6840
159901.OF,深100ETF,2009-07-10,3.8240
159901.OF,深100ETF,2009-07-17,3.9720
159901.OF,深100ETF,2009-07-24,4.0950
159901.OF,深100ETF,2009-07-31,4.1340
159901.OF,深100ETF,2009-08-07,3.9660
159901.OF,深100ETF,2009-08-14,3.7820
159901.OF,深100ETF,2009-08-21,3.6050
159901.OF,深100ETF,2009-08-28,3.5060
159901.OF,深100ETF,2009-09-04,3.5140
159901.OF,深100ETF,2009-09-11,3.7030
159901.OF,深100ETF,2009-09-18,3.6940
159901.OF,深100ETF,2009-09-25,3.5040
159901.OF,深100ETF,2009-10-02,3.4410
159901.OF,深100ETF,2009-10-09,3.6230
159901.OF,深100ETF,2009-10-16,3.7110
159901.OF,深100ETF,2009-10-23,3.9420
159901.OF,深100ETF,2009-10-30,3.8110
159901.OF,深100ETF,2009-11-06,4.0420
159901.OF,深100ETF,2009-11-13,4.1140
159901.OF,深100ETF,2009-11-20,4.2630
159901.OF,深100ETF,2009-11-27,3.9840
159901.OF,深100ETF,2009-12-04,4.2800
159901.OF,深100ETF,2009-12-11,4.2760
159901.OF,深100ETF,2009-12-18,3.9730
159901.OF,深100ETF,2009-12-25,4.0920
159901.OF,深100ETF,2009-12-31,4.2280
159902.OF,中小100,2006-06-09,1.0000
159902.OF,中小100,2006-06-16,1.0060
159902.OF,中小100,2006-06-23,1.0060
159902.OF,中小100,2006-06-30,1.0090
159902.OF,中小100,2006-07-07,1.0170
159902.OF,中小100,2006-07-14,1.0070
159902.OF,中小100,2006-07-21,1.0080
159902.OF,中小100,2006-07-28,0.9920
159902.OF,中小100,2006-08-04,0.9500
159902.OF,中小100,2006-08-11,0.9620
159902.OF,中小100,2006-08-18,0.9530
159902.OF,中小100,2006-08-25,0.9730
159902.OF,中小100,2006-09-01,0.9870
159902.OF,中小100,2006-09-08,0.9900
159902.OF,中小100,2006-09-15,0.9900
159902.OF,中小100,2006-09-22,1.0140
159902.OF,中小100,2006-09-29,1.0250
159902.OF,中小100,2006-10-06,1.0250
159902.OF,中小100,2006-10-13,1.0280
159902.OF,中小100,2006-10-20,1.0230
159902.OF,中小100,2006-10-27,1.0000
159902.OF,中小100,2006-11-03,0.9880
159902.OF,中小100,2006-11-10,0.9740
159902.OF,中小100,2006-11-17,0.9920
159902.OF,中小100,2006-11-24,1.0170
159902.OF,中小100,2006-12-01,1.0720
159902.OF,中小100,2006-12-08,1.0420
159902.OF,中小100,2006-12-15,1.1250
159902.OF,中小100,2006-12-22,1.1570
159902.OF,中小100,2006-12-29,1.1940
159902.OF,中小100,2007-01-05,1.2210
159902.OF,中小100,2007-01-12,1.2560
159902.OF,中小100,2007-01-19,1.4940
159902.OF,中小100,2007-01-26,1.5000
159902.OF,中小100,2007-02-02,1.4790
159902.OF,中小100,2007-02-09,1.4980
159902.OF,中小100,2007-02-16,1.6300
159902.OF,中小100,2007-03-02,1.5250
159902.OF,中小100,2007-03-09,1.6110
159902.OF,中小100,2007-03-16,1.6450
159902.OF,中小100,2007-03-23,1.7290
159902.OF,中小100,2007-03-30,1.7400
159902.OF,中小100,2007-04-06,1.8450
159902.OF,中小100,2007-04-13,1.9610
159902.OF,中小100,2007-04-20,2.0260
159902.OF,中小100,2007-04-27,2.0250
159902.OF,中小100,2007-05-04,2.0530
159902.OF,中小100,2007-05-11,2.0630
159902.OF,中小100,2007-05-18,2.1820
159902.OF,中小100,2007-05-25,2.3040
159902.OF,中小100,2007-06-01,2.1560
159902.OF,中小100,2007-06-08,2.2130
159902.OF,中小100,2007-06-15,2.4230
159902.OF,中小100,2007-06-22,2.2850
159902.OF,中小100,2007-06-29,2.1070
159902.OF,中小100,2007-07-06,2.1260
159902.OF,中小100,2007-07-13,2.1530
159902.OF,中小100,2007-07-20,2.2730
159902.OF,中小100,2007-07-27,2.4100
159902.OF,中小100,2007-08-03,2.5340
159902.OF,中小100,2007-08-10,2.4960
159902.OF,中小100,2007-08-17,2.5060
159902.OF,中小100,2007-08-24,2.7410
159902.OF,中小100,2007-08-31,2.8060
159902.OF,中小100,2007-09-07,2.7390
159902.OF,中小100,2007-09-14,2.7400
159902.OF,中小100,2007-09-21,2.6600
159902.OF,中小100,2007-09-28,2.7990
159902.OF,中小100,2007-10-05,2.7990
159902.OF,中小100,2007-10-12,2.8040
159902.OF,中小100,2007-10-19,2.7900
159902.OF,中小100,2007-10-26,2.5960
159902.OF,中小100,2007-11-02,2.5280
159902.OF,中小100,2007-11-09,2.4640
159902.OF,中小100,2007-11-16,2.4690
159902.OF,中小100,2007-11-23,2.5150
159902.OF,中小100,2007-11-30,2.4380
159902.OF,中小100,2007-12-07,2.5810
159902.OF,中小100,2007-12-14,2.6940
159902.OF,中小100,2007-12-21,2.7800
159902.OF,中小100,2007-12-28,2.9760
159902.OF,中小100,2008-01-04,3.0260
159902.OF,中小100,2008-01-11,3.0510
159902.OF,中小100,2008-01-18,3.0460
159902.OF,中小100,2008-01-25,2.9510
159902.OF,中小100,2008-02-01,2.6590
159902.OF,中小100,2008-02-08,2.8410
159902.OF,中小100,2008-02-15,2.8710
159902.OF,中小100,2008-02-22,2.9530
159902.OF,中小100,2008-02-29,2.9040
159902.OF,中小100,2008-03-07,2.9360
159902.OF,中小100,2008-03-14,2.6640
159902.OF,中小100,2008-03-21,2.5270
159902.OF,中小100,2008-03-28,2.4630
159902.OF,中小100,2008-04-04,2.2040
159902.OF,中小100,2008-04-11,2.3300
159902.OF,中小100,2008-04-18,2.0780
159902.OF,中小100,2008-04-25,2.2580
159902.OF,中小100,2008-05-02,2.3410
159902.OF,中小100,2008-05-09,2.4080
159902.OF,中小100,2008-05-16,2.4420
159902.OF,中小100,2008-05-23,2.3130
159902.OF,中小100,2008-05-30,2.2780
159902.OF,中小100,2008-06-06,2.2150
159902.OF,中小100,2008-06-13,1.8910
159902.OF,中小100,2008-06-20,1.7790
159902.OF,中小100,2008-06-27,1.8010
159902.OF,中小100,2008-07-04,1.8590
159902.OF,中小100,2008-07-11,1.9790
159902.OF,中小100,2008-07-18,1.9180
159902.OF,中小100,2008-07-25,2.0020
159902.OF,中小100,2008-08-01,1.9540
159902.OF,中小100,2008-08-08,1.7730
159902.OF,中小100,2008-08-15,1.7160
159902.OF,中小100,2008-08-22,1.6620
159902.OF,中小100,2008-08-29,1.5910
159902.OF,中小100,2008-09-05,1.4180
159902.OF,中小100,2008-09-12,1.3770
159902.OF,中小100,2008-09-19,1.3960
159902.OF,中小100,2008-09-26,1.4140
159902.OF,中小100,2008-10-10,1.2230
159902.OF,中小100,2008-10-17,1.1150
159902.OF,中小100,2008-10-24,1.1480
159902.OF,中小100,2008-10-31,1.1050
159902.OF,中小100,2008-11-07,1.0910
159902.OF,中小100,2008-11-14,1.2460
159902.OF,中小100,2008-11-21,1.2410
159902.OF,中小100,2008-11-28,1.2940
159902.OF,中小100,2008-12-05,1.4310
159902.OF,中小100,2008-12-12,1.3870
159902.OF,中小100,2008-12-19,1.4980
159902.OF,中小100,2008-12-26,1.4170
159902.OF,中小100,2009-01-02,1.4100
159902.OF,中小100,2009-01-09,1.4670
159902.OF,中小100,2009-01-16,1.4930
159902.OF,中小100,2009-01-23,1.4880
159902.OF,中小100,2009-02-06,1.6060
159902.OF,中小100,2009-02-13,1.7670
159902.OF,中小100,2009-02-20,1.7340
159902.OF,中小100,2009-02-27,1.5520
159902.OF,中小100,2009-03-06,1.6710
159902.OF,中小100,2009-03-13,1.6150
159902.OF,中小100,2009-03-20,1.7380
159902.OF,中小100,2009-03-27,1.7960
159902.OF,中小100,2009-04-03,1.8710
159902.OF,中小100,2009-04-10,1.9140
159902.OF,中小100,2009-04-17,1.9670
159902.OF,中小100,2009-04-24,1.9540
159902.OF,中小100,2009-05-01,1.9560
159902.OF,中小100,2009-05-08,2.0260
159902.OF,中小100,2009-05-15,2.0440
159902.OF,中小100,2009-05-22,2.0160
159902.OF,中小100,2009-05-29,2.0350
159902.OF,中小100,2009-06-05,2.0710
159902.OF,中小100,2009-06-12,2.0530
159902.OF,中小100,2009-06-19,2.1230
159902.OF,中小100,2009-06-26,2.1300
159902.OF,中小100,2009-07-03,2.1650
159902.OF,中小100,2009-07-10,2.2360
159902.OF,中小100,2009-07-17,2.2760
159902.OF,中小100,2009-07-24,2.2710
159902.OF,中小100,2009-07-31,2.3130
159902.OF,中小100,2009-08-07,2.3170
159902.OF,中小100,2009-08-14,2.1580
159902.OF,中小100,2009-08-21,2.0860
159902.OF,中小100,2009-08-28,2.1270
159902.OF,中小100,2009-09-04,2.1070
159902.OF,中小100,2009-09-11,2.2340
159902.OF,中小100,2009-09-18,2.2870
159902.OF,中小100,2009-09-25,2.2020
159902.OF,中小100,2009-10-02,2.1750
159902.OF,中小100,2009-10-09,2.2810
159902.OF,中小100,2009-10-16,2.2890
159902.OF,中小100,2009-10-23,2.3610
159902.OF,中小100,2009-10-30,2.3370
159902.OF,中小100,2009-11-06,2.5000
159902.OF,中小100,2009-11-13,2.5930
159902.OF,中小100,2009-11-20,2.6880
159902.OF,中小100,2009-11-27,2.4270
159902.OF,中小100,2009-12-04,2.5760
159902.OF,中小100,2009-12-11,2.5900
159902.OF,中小100,2009-12-18,2.4420
159902.OF,中小100,2009-12-25,2.5530
159902.OF,中小100,2009-12-31,2.6360
159903.OF,深成ETF,2009-12-04,1.0000
159903.OF,深成ETF,2009-12-11,0.9990
159903.OF,深成ETF,2009-12-18,0.9730
159903.OF,深成ETF,2009-12-25,0.9860
159903.OF,深成ETF,2009-12-31,1.0040
160119.OF,南方500,2009-09-25,1.0000
160119.OF,南方500,2009-10-02,0.9970
160119.OF,南方500,2009-10-09,1.0060
160119.OF,南方500,2009-10-16,1.0160
160119.OF,南方500,2009-10-23,1.0410
160119.OF,南方500,2009-10-30,1.0270
160119.OF,南方500,2009-11-06,1.0950
160119.OF,南方500,2009-11-13,1.1240
160119.OF,南方500,2009-11-20,1.1840
160119.OF,南方500,2009-11-27,1.1110
160119.OF,南方500,2009-12-04,1.1830
160119.OF,南方500,2009-12-11,1.1900
160119.OF,南方500,2009-12-18,1.1070
160119.OF,南方500,2009-12-25,1.1500
160119.OF,南方500,2009-12-31,1.1760
160615.OF,鹏华300,2009-04-03,1.0000
160615.OF,鹏华300,2009-04-10,1.0010
160615.OF,鹏华300,2009-04-17,1.0030
160615.OF,鹏华300,2009-04-24,1.0020
160615.OF,鹏华300,2009-05-01,1.0080
160615.OF,鹏华300,2009-05-08,1.0360
160615.OF,鹏华300,2009-05-15,1.0380
160615.OF,鹏华300,2009-05-22,1.0180
160615.OF,鹏华300,2009-05-29,1.0250
160615.OF,鹏华300,2009-06-05,1.0870
160615.OF,鹏华300,2009-06-12,1.0770
160615.OF,鹏华300,2009-06-19,1.1380
160615.OF,鹏华300,2009-06-26,1.1570
160615.OF,鹏华300,2009-07-03,1.2270
160615.OF,鹏华300,2009-07-10,1.2520
160615.OF,鹏华300,2009-07-17,1.2950
160615.OF,鹏华300,2009-07-24,1.3460
160615.OF,鹏华300,2009-07-31,1.3070
160615.OF,鹏华300,2009-08-07,1.2480
160615.OF,鹏华300,2009-08-14,1.1780
160615.OF,鹏华300,2009-08-21,1.1300
160615.OF,鹏华300,2009-08-28,1.0770
160615.OF,鹏华300,2009-09-04,1.0870
160615.OF,鹏华300,2009-09-11,1.1400
160615.OF,鹏华300,2009-09-18,1.1270
160615.OF,鹏华300,2009-09-25,1.0810
160615.OF,鹏华300,2009-10-02,1.0630
160615.OF,鹏华300,2009-10-09,1.1160
160615.OF,鹏华300,2009-10-16,1.1420
160615.OF,鹏华300,2009-10-23,1.1980
160615.OF,鹏华300,2009-10-30,1.1540
160615.OF,鹏华300,2009-11-06,1.2210
160615.OF,鹏华300,2009-11-13,1.2330
160615.OF,鹏华300,2009-11-20,1.2700
160615.OF,鹏华300,2009-11-27,1.1870
160615.OF,鹏华300,2009-12-04,1.2740
160615.OF,鹏华300,2009-12-11,1.2510
160615.OF,鹏华300,2009-12-18,1.1910
160615.OF,鹏华300,2009-12-25,1.2020
160615.OF,鹏华300,2009-12-31,1.2510
160706.OF,嘉实300,2005-12-30,0.9810
160706.OF,嘉实300,2006-01-06,1.0280
160706.OF,嘉实300,2006-01-13,1.0360
160706.OF,嘉实300,2006-01-20,1.0500
160706.OF,嘉实300,2006-01-27,1.0670
160706.OF,嘉实300,2006-02-10,1.0870
160706.OF,嘉实300,2006-02-17,1.0780
160706.OF,嘉实300,2006-02-24,1.1050
160706.OF,嘉实300,2006-03-03,1.1110
160706.OF,嘉实300,2006-03-10,1.0100
160706.OF,嘉实300,2006-03-17,1.0240
160706.OF,嘉实300,2006-03-24,1.0410
160706.OF,嘉实300,2006-03-31,1.0600
160706.OF,嘉实300,2006-04-07,1.0990
160706.OF,嘉实300,2006-04-14,1.0840
160706.OF,嘉实300,2006-04-21,1.1120
160706.OF,嘉实300,2006-04-28,1.1360
160706.OF,嘉实300,2006-05-12,1.2520
160706.OF,嘉实300,2006-05-19,1.3180
160706.OF,嘉实300,2006-05-26,1.2940
160706.OF,嘉实300,2006-06-02,1.3520
160706.OF,嘉实300,2006-06-09,1.2660
160706.OF,嘉实300,2006-06-16,1.1350
160706.OF,嘉实300,2006-06-23,1.1540
160706.OF,嘉实300,2006-06-30,1.2000
160706.OF,嘉实300,2006-07-07,1.2140
160706.OF,嘉实300,2006-07-14,1.1720
160706.OF,嘉实300,2006-07-21,1.1720
160706.OF,嘉实300,2006-07-28,1.1600
160706.OF,嘉实300,2006-08-04,1.0780
160706.OF,嘉实300,2006-08-11,1.1060
160706.OF,嘉实300,2006-08-18,1.1010
160706.OF,嘉实300,2006-08-25,1.1240
160706.OF,嘉实300,2006-09-01,1.1420
160706.OF,嘉实300,2006-09-08,1.1540
160706.OF,嘉实300,2006-09-15,1.1790
160706.OF,嘉实300,2006-09-22,1.1910
160706.OF,嘉实300,2006-09-29,1.2150
160706.OF,嘉实300,2006-10-06,1.2150
160706.OF,嘉实300,2006-10-13,1.2380
160706.OF,嘉实300,2006-10-20,1.2460
160706.OF,嘉实300,2006-10-27,1.2450
160706.OF,嘉实300,2006-11-03,1.2840
160706.OF,嘉实300,2006-11-10,1.2990
160706.OF,嘉实300,2006-11-17,1.3370
160706.OF,嘉实300,2006-11-24,1.4080
160706.OF,嘉实300,2006-12-01,1.4840
160706.OF,嘉实300,2006-12-08,1.4680
160706.OF,嘉实300,2006-12-15,1.5960
160706.OF,嘉实300,2006-12-22,1.6200
160706.OF,嘉实300,2006-12-29,1.7320
160706.OF,嘉实300,2007-01-05,1.7570
160706.OF,嘉实300,2007-01-12,1.8390
160706.OF,嘉实300,2007-01-19,2.0140
160706.OF,嘉实300,2007-01-26,2.1080
160706.OF,嘉实300,2007-02-02,1.0060
160706.OF,嘉实300,2007-02-09,1.0480
160706.OF,嘉实300,2007-02-16,1.1510
160706.OF,嘉实300,2007-03-02,1.0130
160706.OF,嘉实300,2007-03-09,1.0490
160706.OF,嘉实300,2007-03-16,1.0450
160706.OF,嘉实300,2007-03-23,1.0880
160706.OF,嘉实300,2007-03-30,1.1130
160706.OF,嘉实300,2007-04-06,1.1840
160706.OF,嘉实300,2007-04-13,1.2570
160706.OF,嘉实300,2007-04-20,1.2990
160706.OF,嘉实300,2007-04-27,1.3660
160706.OF,嘉实300,2007-05-04,1.3910
160706.OF,嘉实300,2007-05-11,1.4450
