,trdwk,mkt_rf,smb,hml,umd,rf
615,2006-05-19,0.0685264576,0.016170518,0.015255313,-0.055657811,0.000428
616,2006-05-26,-0.019874949,0.0412263216,0.0032191941,-0.044209185,0.000428
617,2006-06-02,0.069680766,0.0530313811,0.0001834386,-0.020117988,0.000428
618,2006-06-09,-0.075771474,-0.007844678,0.0003514226,-0.049699469,0.000428
619,2006-06-16,0.0261997182,0.0049441285,0.0006752321,0.0247935978,0.000428
620,2006-06-23,0.0256716952,0.0112801324,0.0022285427,0.0168238325,0.000428
621,2006-06-30,0.044675217,0.0041533326,0.0118287886,0.0085738049,0.000428
622,2006-07-07,0.0252500856,0.0214199081,-0.005208145,0.0253998449,0.000428
623,2006-07-14,-0.043504969,0.0029849947,-0.003348684,-0.002504787,0.000428
624,2006-07-21,0.0066961101,0.0282710111,0.0103607901,-0.013191875,0.000428
625,2006-07-28,-0.005048829,0.0123422246,-0.004312561,-0.003960597,0.000428
626,2006-08-04,-0.090138318,-0.007754288,0.0019393608,-0.040325138,0.000428
627,2006-08-11,0.0296362049,-0.000438678,0.000219309,0.0120050628,0.000428
628,2006-08-18,-0.007465237,-0.003135032,0.0004031033,-0.00299486,0.000479
629,2006-08-25,0.0228233186,-0.000958514,-0.011621899,0.0168969509,0.000479
630,2006-09-01,0.0215068882,0.0016291669,-0.000777066,0.0234184354,0.000479
631,2006-09-08,0.0098549458,0.0128370684,-0.006511246,0.001048918,0.000479
632,2006-09-15,0.0141680802,-0.000702902,0.0100224307,-0.031832721,0.000479
633,2006-09-22,0.0124215316,0.0065030567,-0.016813384,0.0254294723,0.000479
634,2006-09-29,0.0215146759,0.0081718793,-0.006181577,0.0041967137,0.000479
635,2006-10-13,0.0168568649,0.0119428828,0.0135774902,-0.023456245,0.000479
636,2006-10-20,0.0048602488,0.0023985836,-0.005035935,0.0204026785,0.000479
637,2006-10-27,-0.023012522,-0.025070853,-0.007649374,0.0037948746,0.000479
638,2006-11-03,0.0298907896,-0.022428633,0.017771039,-0.02938914,0.000479
639,2006-11-10,-0.018875544,-0.028958666,0.0001102694,0.0038559182,0.000479
640,2006-11-17,0.0152215239,-0.037015087,-0.010538317,0.0094007913,0.000479
641,2006-11-24,0.0411545814,-0.017933401,0.006252493,0.0028485641,0.000479
642,2006-12-01,0.0670327479,-0.026169145,-0.017418383,0.0565159823,0.000479
643,2006-12-08,-0.027403716,-0.005167001,0.0221958205,-0.030408907,0.000479
644,2006-12-15,0.0813493571,-0.028241315,-0.010759729,0.0612442476,0.000479
645,2006-12-22,0.0201837006,0.0146033078,-0.012130364,-0.00346277,0.000479
646,2006-12-29,0.0335725673,-0.060413781,0.0126761361,0.0468283358,0.000479
647,2007-01-05,0.0302386253,-0.009833431,0.0219479962,-0.023517335,0.000479
648,2007-01-12,0.0529054337,0.0197143829,-0.014493086,0.015150194,0.000479
649,2007-01-19,0.1327160056,0.0074211936,-0.031931085,0.000534276,0.000479
650,2007-01-26,0.0222927202,0.0045495935,0.020875772,-0.000227555,0.000479
651,2007-02-02,-0.057417001,0.0553828467,-0.012137289,-0.047237825,0.000479
652,2007-02-09,0.060732827,0.017970484,0.0091425787,-0.043717696,0.000479
653,2007-02-16,0.1152184075,0.0011565649,0.0257760686,0.0201065873,0.000479
654,2007-03-02,-0.031208516,0.0598091424,0.0423531978,-0.049794018,0.000479
655,2007-03-09,0.0441437504,0.0206617641,-0.000789502,0.0195280216,0.000479
656,2007-03-16,0.0185624906,0.036461037,-0.007861376,-0.014979271,0.000529
657,2007-03-23,0.056861716,0.0398543444,0.0248604886,-0.02430375,0.000529
658,2007-03-30,0.0126080578,-0.014045664,0.0105729025,-0.011736458,0.000529
659,2007-04-06,0.0812223342,0.0118726787,0.0179400556,0.0164888173,0.000529
660,2007-04-13,0.0663453402,-0.009997373,-0.001282352,0.0057089507,0.000529
