Trddt,Yield
2003/1/30,1.9378
2003/1/31,1.9678
2003/2/8,1.2093
2003/2/9,1.1751
2003/2/10,1.3454
2003/2/11,1.9987
2003/2/12,1.1454
2003/2/13,1.1296
2003/2/14,1.0704
2003/2/17,1.8821
2003/2/18,1.0128
2003/2/19,1.1131
2003/2/20,1.0248
2003/2/21,1.0758
2003/2/24,2.0328
2003/2/25,0.9442
2003/2/26,1.008
2003/2/27,0.9965
2003/2/28,1.0082
2003/3/3,1.8855
2003/3/4,0.9393
2003/3/5,2.0437
2003/3/6,1.9817
2003/3/7,0.8699
2003/3/10,1.9273
2003/3/11,2.1033
2003/3/12,0.9622
2003/3/13,1.8179
2003/3/14,1.9241
2003/3/17,0.7923
2003/3/18,1.5663
2003/3/19,1.3491
2003/3/20,0.8256
2003/3/21,2.1538
2003/3/24,1.2707
2003/3/25,1.3178
2003/3/26,2.007
2003/3/27,0.5594
2003/3/28,1.9905
2003/3/31,1.9249
2003/4/1,2.0614
2003/4/2,1.9787
2003/4/3,1.9545
2003/4/4,2.0379
2003/4/7,1.9267
2003/4/8,1.9515
2003/4/9,1.8663
2003/4/10,1.8047
2003/4/11,2.0606
2003/4/14,0.1361
2003/4/15,1.9348
2003/4/16,1.8782
2003/4/17,1.8838
2003/4/18,1.9862
2003/4/21,2.0072
2003/4/22,-0.0907
2003/4/23,1.8969
2003/4/24,1.5039
2003/4/25,2.0465
2003/4/28,2.1167
2003/4/29,2.1071
2003/5/6,1.9513
2003/5/7,1.9476
2003/5/8,1.9152
2003/5/9,1.9971
2003/5/12,1.9891
2003/5/13,1.8973
2003/5/14,1.9933
2003/5/15,1.9847
2003/5/16,2.0278
2003/5/19,1.895
2003/5/20,1.8162
2003/5/21,1.8917
2003/5/22,1.8861
2003/5/23,1.9541
2003/5/26,1.9119
2003/5/27,1.9477
2003/5/28,1.8289
2003/5/29,1.9233
2003/5/30,1.9247
2003/6/2,1.8639
2003/6/3,2.0147
2003/6/4,1.9216
2003/6/5,1.9217
2003/6/6,1.8614
2003/6/9,1.985
2003/6/10,2.844
2003/6/11,2.1473
2003/6/12,2.0267
2003/6/13,2.0868
2003/6/16,1.9985
2003/6/17,2.0306
2003/6/18,1.9939
2003/6/20,2.0424
2003/6/23,2.0786
2003/6/24,2.0521
2003/6/25,2.0578
2003/6/26,2.5725
2003/6/27,2.0656
2003/6/30,1.8995
2003/7/1,1.9476
2003/7/2,2.0945
2003/7/3,2.019
2003/7/4,2.0998
2003/7/7,2.1531
2003/7/8,2.0318
2003/7/9,1.9839
2003/7/10,2.0617
2003/7/11,2.0045
2003/7/14,2.3854
2003/7/15,2.3686
2003/7/16,2.4245
2003/7/17,2.3686
2003/7/18,2.3726
2003/7/21,2.3869
2003/7/22,2.364
2003/7/23,2.244
2003/7/24,2.1933
2003/7/25,2.2244
2003/7/28,2.2613
2003/7/29,2.2469
2003/7/30,2.2267
2003/7/31,2.219
2003/8/1,2.2362
2003/8/4,2.0156
2003/8/5,2.2224
2003/8/6,2.2365
2003/8/7,2.2261
2003/8/11,2.3945
2003/8/12,2.5035
2003/8/13,2.4377
2003/8/14,2.4399
2003/8/19,2.5085
2003/8/20,2.4608
2003/8/21,2.5255
2003/8/22,2.5078
2003/8/25,2.4997
2003/8/26,2.478
2003/8/27,2.6097
2003/8/28,2.6108
2003/8/29,2.5373
2003/9/1,2.5346
2003/9/2,2.5592
2003/9/3,2.535
2003/9/4,2.5536
2003/9/5,2.5441
2003/9/8,2.5052
2003/9/9,2.5837
2003/9/10,2.5889
2003/9/11,2.5889
2003/9/12,2.5914
2003/9/15,2.3425
2003/9/16,2.6231
2003/9/17,2.6879
2003/9/18,2.6156
2003/9/19,2.8103
2003/9/22,2.5274
2003/9/23,2.369
2003/9/24,2.4676
2003/9/25,2.6256
2003/9/26,2.4832
2003/9/27,2.4223
2003/9/28,2.551
2003/9/29,2.1264
2003/9/30,2.1771
2003/10/8,2.194
2003/10/9,2.4138
2003/10/10,2.7004
2003/10/13,2.7713
